All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
47,GPIO8,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,HIC_A0,FSITXA_TDM_CLK,HIC_D8
48,GPIO4,MCAN_TX,GPIO4,EPWM3_A,,MCAN_TX,GPIO4,OUTPUTXBAR3,CANA_TX,SPIB_CLK,GPIO4,EQEP2_STROBE,FSIRXA_CLK,CLB_OUTPUTXBAR6,GPIO4,HIC_BASESEL2,,HIC_NWE
49,GPIO3,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,I2CB_SCL,GPIO3,HIC_NOE,CANA_RX,HIC_D4
50,GPIO2,,GPIO2,EPWM2_A,EMU1,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,SPIA_SIMO,GPIO2,SCIA_TX,FSIRXA_D1,I2CB_SDA,GPIO2,HIC_A1,CANA_TX,HIC_D9
51,GPIO1,,GPIO1,EPWM1_B,EMU0,,GPIO1,,I2CA_SCL,SPIA_SOMI,GPIO1,,MCAN_TX,CLB_OUTPUTXBAR7,GPIO1,HIC_A2,FSITXA_TDM_D1,HIC_D10
52,GPIO0,,GPIO0,EPWM1_A,,,GPIO0,,I2CA_SDA,SPIA_STE,GPIO0,FSIRXA_CLK,MCAN_RX,CLB_OUTPUTXBAR8,GPIO0,EQEP1_INDEX,HIC_D7,HIC_BASESEL1
53,GPIO40,,GPIO40,SPIB_SIMO,,EMU0,GPIO40,EPWM2_B,PMBUSA_SDA,FSIRXA_D0,GPIO40,SCIB_TX,EQEP1_A,LINB_TX,GPIO40,,HIC_NBE1,HIC_D5
54,GPIO23,,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,,SPIB_STE,SD1_C4,GPIO23,LINA_RX,CLB_OUTPUTXBAR3,LINB_RX,GPIO23,HIC_A3,EPWM4_B,HIC_D11
55,GPIO41,,GPIO41,,,EMU1,GPIO41,EPWM2_A,PMBUSA_SCL,FSIRXA_D1,GPIO41,SCIB_RX,EQEP1_B,LINB_RX,GPIO41,HIC_A4,SPIB_SOMI,HIC_D12
56,GPIO22,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,,SPIB_CLK,SD1_D4,GPIO22,LINA_TX,CLB_OUTPUTXBAR1,LINB_TX,GPIO22,HIC_A5,EPWM4_A,HIC_D13
57,GPIO7,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIB_SIMO,GPIO7,FSITXA_CLK,CLB_OUTPUTXBAR2,,GPIO7,HIC_A6,,HIC_D14
58,VSS,VSS
59,VDD,VDD
60,VDDIO,VDDIO
61,GPIO5,MCAN_RX,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,MCAN_RX,CANA_RX,SPIA_STE,GPIO5,FSITXA_D1,CLB_OUTPUTXBAR5,,GPIO5,HIC_A7,HIC_D4,HIC_D15
62,GPIO9,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,FSITXA_D0,LINB_RX,GPIO9,HIC_BASESEL0,I2CB_SCL,HIC_NRDY
63,GPIO10,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SPIA_SOMI,GPIO10,I2CA_SDA,FSITXA_CLK,LINB_TX,GPIO10,HIC_NWE,FSITXA_TDM_D0,CLB_OUTPUTXBAR4
64,GPIO6,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,SPIB_SOMI,GPIO6,FSITXA_D0,,FSITXA_D1,GPIO6,HIC_NBE1,CLB_OUTPUTXBAR8,HIC_D14

